mass_A
t	x	y
0	0	0.7933912173
0.01	0.002900283939	0.7920402821
0.02	0.007039863086	0.7898082044
0.03	0.01068416313	0.7876862074
0.04	0.01487965627	0.7853202128
0.05	0.01908763822	0.783212105
0.06	0.02306246402	0.7809712308
0.07	0.02789926206	0.7783701071
0.08	0.0327810941	0.7758024532
0.09	0.03783566349	0.7730979361
0.1	0.0428554324	0.7703015784
0.11	0.04840215706	0.7672935554
0.12	0.05392744283	0.7642540309
0.13	0.05982294993	0.7610876833
0.14	0.06583962776	0.7578618721
0.15	0.07231830191	0.7542127289
0.16	0.07882634972	0.7506645367
0.17	0.08574744675	0.7468078599
0.18	0.09282225742	0.7428307828
0.19	0.1003029471	0.7385421953
0.2	0.1079292894	0.7343456677
0.21	0.1155923863	0.7301303105
0.22	0.1236056576	0.7257591376
0.23	0.1320313085	0.7211600676
0.24	0.1406092563	0.7163888771
0.25	0.1494120386	0.7116133524
0.26	0.1581232331	0.7071569948
0.27	0.1675586159	0.7025650039
0.28	0.1772187879	0.6972490751
0.29	0.187014285	0.6913363711
0.3	0.1964113376	0.6857695048
0.31	0.2067485814	0.6798104543
0.32	0.2176962281	0.6737446547
0.33	0.2283254285	0.6678353785
0.34	0.2395077104	0.6614435204
0.35	0.2507223467	0.6551413069
0.36	0.262273841	0.6484637041
0.37	0.2740820377	0.6418180945
0.38	0.2860168065	0.6350640419
0.39	0.2980700783	0.6283041343
0.4	0.3102151905	0.6215151446
0.41	0.3229819108	0.6142006433
0.42	0.3356678829	0.6070554634
0.43	0.3492772398	0.599425153
0.44	0.362217962	0.5924136202
0.45	0.3763359873	0.5859943119
0.46	0.3897526985	0.5764286557
0.47	0.4036535457	0.5683261186
0.48	0.417915252	0.5603514262
0.49	0.4323578723	0.5522814237
0.5	0.4470048059	0.5442351446
0.51	0.4618131034	0.5362270609
0.52	0.4768713648	0.5279930939
0.53	0.492699087	0.519406222
0.54	0.5082611816	0.5110454728
0.55	0.5241002443	0.5026527975
0.56	0.5402104705	0.4939958965
0.57	0.5563116017	0.4855635469
0.58	0.5725172985	0.4772801828
0.59	0.5895665576	0.4678803015
0.6	0.6063030813	0.4585709408
0.61	0.62321783	0.4492885075
0.62	0.6404280918	0.4399876612
0.63	0.6577102886	0.4306091585
0.64	0.6751331847	0.4211185814
0.65	0.692851027	0.4113549195
0.66	0.7110334759	0.4013966709
0.67	0.7295013222	0.3911512088
0.68	0.7478308477	0.3810428309
0.69	0.7662458153	0.3713459753
0.7	0.7844718028	0.3618131941
0.71	0.8036666111	0.3505528642
0.72	0.8230164516	0.3395665652
0.73	0.842396011	0.328926495
0.74	0.8620802083	0.3182465839
0.75	0.8818847979	0.307429264
0.76	0.9017623226	0.2966437237
0.77	0.9218041103	0.2858176379
0.78	0.9419867374	0.2749308987
0.79	0.9627094623	0.263771481
0.8	0.9832496825	0.253436836
0.81	1.004045313	0.2413560217
0.82	1.025119785	0.2298361097
0.83	1.046368765	0.218473095
0.84	1.067809574	0.2071428834
0.85	1.089516418	0.1956971376
0.86	1.11145642	0.1840847666
0.87	1.132899355	0.1726051969
0.88	1.155060081	0.160520137
0.89	1.17733579	0.1487988425
0.9	1.201332384	0.1359013658
0.91	1.222293088	0.1231961413
0.92	1.244547553	0.1097832722
0.93	1.267181383	0.09679900983
0.94	1.29031754	0.08359946576
0.95	1.313130132	0.07100588224
0.96	1.336137737	0.058581048
0.97	1.359470171	0.04664463794
0.98	1.382183035	0.03877063767
