mass_A
t	x	y
0	0.001661922419	0.7814355309	
0.01	0.002749405274	0.7787174374
0.02	0.004028088154	0.7749514771
0.03	0.005872452901	0.7701977236
0.04	0.00803793855	0.7649311544
0.05	0.01039188298	0.7589192549
0.06	0.01311366531	0.7525078458
0.07	0.01610747527	0.7451851091
0.08	0.01944028535	0.7371171446
0.09	0.02322040982	0.7282017124
0.1	0.02726925006	0.7185038438
0.11	0.03167412973	0.7079809513
0.12	0.03636730964	0.6968451121
0.13	0.04145432387	0.684975427
0.14	0.04676569002	0.6725869837
0.15	0.05244271863	0.6595540463
0.16	0.05846038154	0.6458479394
0.17	0.06493877506	0.6313767539
0.18	0.07183343895	0.6164776899
0.19	0.07912803858	0.6009382325
0.2	0.086827764	0.5848020802
0.21	0.09510410469	0.5681101468
0.22	0.1038510034	0.5510841632
0.23	0.1132652042	0.5335465296
0.24	0.1231653426	0.515652451
0.25	0.1336738104	0.4975202918
0.26	0.1450502628	0.478814312
0.27	0.1566874544	0.4599668598
0.28	0.1691014624	0.441628223
0.29	0.1821989624	0.4217512479
0.3	0.1958905919	0.4030712397
0.31	0.2104731864	0.3840604112
0.32	0.2259316779	0.3652477867
0.33	0.2422367699	0.3466725638
0.34	0.2590407909	0.3285987317
0.35	0.2769671517	0.3107741048
0.36	0.2953997756	0.2930535407
0.37	0.3146213995	0.2761595487
0.38	0.3344852266	0.2601165441
0.39	0.3550495002	0.2444362852
0.4	0.3760385079	0.2283584455
0.41	0.397673141	0.2139897984
0.42	0.4195652862	0.199647897
0.43	0.4421179418	0.1862129647
0.44	0.4651741973	0.1732822175
0.45	0.4883598689	0.161202372
0.46	0.5121905738	0.1494621779
0.47	0.5359309619	0.1387048147
0.48	0.5600417001	0.1275823257
0.49	0.5841988176	0.1175017724
0.5	0.6083955887	0.1079247841
0.51	0.632988856	0.09909013356
0.52	0.6575592661	0.09071475248
0.53	0.6821638658	0.08300953519
0.54	0.7068529754	0.07636374789
0.55	0.7313833172	0.06978533619
0.56	0.756026132	0.06308874451
0.57	0.7804263013	0.05747780194
0.58	0.8046596273	0.0524056785
0.59	0.8289334357	0.04793703647
0.6	0.852974906	0.04412148549
0.61	0.8770091173	0.04096836432
0.62	0.9006682248	0.03924097545
0.63	0.9240146712	0.03766367466
0.64	0.9470820375	0.0358122941
0.65	0.9697650372	0.03470543797
0.66	0.9924820139	0.03418266136
0.67	1.015055608	0.0338089698
0.68	1.037349561	0.03408927026
0.69	1.059451349	0.03510606329
0.7	1.081206708	0.03682861247
0.71	1.103045471	0.03914693676
0.72	1.124477358	0.04282392107
0.73	1.14577636	0.046187955
0.74	1.166682807	0.05036582226
0.75	1.187202565	0.05508042568
0.76	1.207557193	0.06021907829
0.77	1.227272999	0.06581701837
0.78	1.246786784	0.07153945739
0.79	1.266126254	0.07764204037
0.8	1.285051468	0.08396495014
0.81	1.303514616	0.09067142685
0.82	1.321587321	0.09766669945
