mass_A
t	x	y
0	0.02392582903	0.7465186176
0.01	0.02373200497	0.745260368
0.02	0.02347591698	0.7431662866
0.03	0.02388878306	0.7400018447
0.04	0.0237688867	0.7361344348
0.05	0.02428070784	0.7304698308
0.06	0.02450140549	0.7245371753
0.07	0.02471294697	0.7175848155
0.08	0.02518170552	0.7098514074
0.09	0.02551747447	0.7011742942
0.1	0.02607220541	0.6916102206
0.11	0.02665119276	0.6807148142
0.12	0.02727691779	0.6691275053
0.13	0.02784434884	0.6566480804
0.14	0.02830106759	0.6433569862
0.15	0.02897915787	0.6291419833
0.16	0.02962981549	0.6140738234
0.17	0.0303027787	0.5979682877
0.18	0.03097566954	0.5810605895
0.19	0.03179104854	0.5631456442
0.2	0.03242781357	0.5443586661
0.21	0.03336789843	0.5247688868
0.22	0.03416398797	0.5041973265
0.23	0.03498420989	0.4827774805
0.24	0.03574559853	0.4603987293
0.25	0.03668289257	0.4371607936
0.26	0.0377392541	0.4131265406
0.27	0.03938590078	0.3884231444
0.28	0.04114746034	0.3627438564
0.29	0.04313525715	0.3362832983
0.3	0.04634794937	0.3092975822
0.31	0.0515051732	0.2822150953
0.32	0.0585028071	0.2551961446
0.33	0.06787220281	0.228413433
0.34	0.07894727025	0.2019004807
0.35	0.09224084602	0.176003645
0.36	0.1078247518	0.151234677
0.37	0.125661546	0.1279958416
0.38	0.1459030424	0.1068883131
0.39	0.1676138276	0.08819403466
0.4	0.1909895838	0.07157335685
0.41	0.2154804432	0.05814429075
0.42	0.240775913	0.04751103656
0.43	0.2664645459	0.03940758904
0.44	0.2923315945	0.03354348126
0.45	0.3180714405	0.02969297335
0.46	0.343521245	0.02753410817
0.47	0.3686030892	0.02524380762
0.48	0.3937270688	0.02442100214
0.49	0.4180806705	0.02370531826
0.5	0.4421881558	0.02344947249
0.51	0.465916813	0.0229443275
0.52	0.4895242196	0.02295662728
0.53	0.5127107294	0.0231578397
0.54	0.5356951125	0.02426319208
0.55	0.5585403022	0.02320250314
0.56	0.5811550452	0.02338542228
0.57	0.6030174702	0.02409521797
0.58	0.6249571964	0.02342495307
0.59	0.6467598869	0.02358210927
0.6	0.6683465813	0.02325254966
0.61	0.6894563596	0.02320493554
0.62	0.7103376293	0.02321392213
0.63	0.730589531	0.02415433392
0.64	0.7514241904	0.02339661407
0.65	0.7717457787	0.02330261524
0.66	0.7916117061	0.02346363753
0.67	0.8112486498	0.02389755848
0.68	0.8310890333	0.02382438301
0.69	0.8509180338	0.02318986467
0.7	0.8703489617	0.02322881799
0.71	0.8898161185	0.02332468813
0.72	0.9090596515	0.02349258807
0.73	0.9282730082	0.02391268657
0.74	0.9474305611	0.02346806971
0.75	0.9665454009	0.02359563298
0.76	0.985296935	0.02398683297
0.77	1.004545876	0.0242301135
0.78	1.023328362	0.02435551276
0.79	1.042466125	0.02416153651
0.8	1.061371576	0.02421886735
0.81	1.080143171	0.02429710287
0.82	1.098947432	0.02448515729
0.83	1.117641521	0.02480918878
0.84	1.136587638	0.02485591679
0.85	1.155251483	0.02461766592
0.86	1.173872097	0.02467017654
0.87	1.192034622	0.02574355272
0.88	1.210646278	0.02483332228
0.89	1.229139369	0.02534268347
0.9	1.247579455	0.02497040816
0.91	1.26606662	0.02495390884
0.92	1.284350574	0.02495338299
0.93	1.302411912	0.02508426752
0.94	1.320229188	0.0258189837
0.95	1.308448933	0.02410886152
